관서명,살인 발생,살인 검거,강도 발생,강도 검거,강간 발생,강간 검거,절도 발생,절도 검거,폭력 발생,폭력 검거,자치구,인구
강남서,13,10,21,18,449,349,"3,850","1,650","4,284","3,705",강남구,570500.0
강동서,4,3,6,8,156,123,"2,366",789,"2,712","2,248",강동구,453233.0
강북서,7,8,14,13,153,126,"1,434",618,"2,649","2,348",강북구,330192.0
강서서,7,8,13,13,262,191,"2,096","1,260","3,207","2,718",강서구,603772.0
관악서,9,8,12,14,320,221,"2,706",827,"3,298","2,642",관악구,525515.0
광진서,4,4,14,26,240,220,"3,026","1,277","2,625","2,180",광진구,372164.0
구로서,8,6,15,11,281,164,"2,335",889,"3,007","2,432",구로구,447874.0
금천서,3,4,6,6,151,122,"1,567",888,"2,054","1,776",금천구,255082.0
노원서,10,10,7,7,197,121,"2,193",801,"2,723","2,329",노원구,569384.0
도봉서,3,3,9,10,102,106,"1,063",478,"1,487","1,303",도봉구,348646.0
동대문서,5,5,13,13,173,146,"1,981",814,"2,548","2,227",동대문구,369496.0
동작서,5,5,9,5,285,139,"1,865",661,"1,910","1,587",동작구,412520.0
마포서,8,8,14,10,294,247,"2,555",813,"2,983","2,519",마포구,389649.0
서대문서,2,2,5,4,154,124,"1,812",738,"2,056","1,711",서대문구,327163.0
서초서,8,6,9,6,393,249,"2,635","1,091","2,399","2,098",서초구,450310.0
성동서,4,4,9,8,126,119,"1,607",597,"1,612","1,395",성동구,311244.0
성북서,5,5,5,4,150,124,"1,785",741,"2,209","1,855",성북구,461260.0
송파서,11,10,13,10,220,178,"3,239","1,129","3,295","2,786",송파구,667483.0
양천서,3,5,6,3,120,105,"1,890",672,"2,509","2,030",양천구,479978.0
영등포서,14,12,22,20,295,183,"2,964",978,"3,572","2,961",영등포구,402985.0
용산서,5,5,14,14,194,173,"1,557",587,"2,050","1,704",용산구,244203.0
서부서,3,3,9,6,166,141,"1,914",711,"2,653","2,306",은평구,494388.0
종로서,6,5,11,9,211,161,"2,184",837,"2,293","1,931",종로구,162820.0
중부서,3,2,9,6,170,111,"2,548",859,"2,224","1,964",중구,133240.0
중랑서,13,12,11,9,187,148,"2,135",829,"2,847","2,407",중랑구,414503.0
